city_ascii;lng;lat;population
El Dorado Hills;-121.0490;38.6750;45104
Lemon Cove;-119.0312;36.3790;232
Dillon Beach;-122.9560;38.2436;156
Patterson Tract;-119.2956;36.3795;2320
Redcrest;-123.9474;40.3987;36
Madera;-120.0803;36.9640;83636.0
Brooktrails;-123.3963;39.4429;3705
Geyserville;-122.9034;38.7173;929
Delhi;-120.7759;37.4306;11622
Stanton;-117.9935;33.8002;38528
Cobb;-122.7230;38.8356;984
Amador City;-120.8232;38.4190;190
Vallejo;-122.2359;38.1133;173844.0
Scotts Valley;-122.0118;37.0555;11945
Fish Camp;-119.6374;37.4797;83
Alpine;-116.7585;32.8439;14795
Rowland Heights;-117.8911;33.9716;50572
Alta;-120.8033;39.2138;476
North San Juan;-121.1060;39.3718;297
Mountain Mesa;-118.4047;35.6411;808
Shafter;-119.2013;35.4794;20889.0
Bombay Beach;-115.7306;33.3548;341
Fairfax;-122.5950;37.9884;7598
Round Mountain;-121.9375;40.8005;98
Avocado Heights;-118.0026;34.0381;16213
Dunnigan;-121.9741;38.8926;1299
Strathmore;-119.0612;36.1438;3617
Inglewood;-118.3444;33.9566;110598
Randsburg;-117.6607;35.3680;143
Granite Hills;-116.9056;32.8033;2873
Burlingame;-122.3669;37.5860;30686
Keddie;-120.9525;40.0059;42
Lodi;-121.2933;38.1218;72890.0
Saticoy;-119.1452;34.2819;1005
Avery;-120.3790;38.1939;575
Spreckels;-121.6465;36.6247;562
South Whittier;-118.0311;33.9336;60000
Boron;-117.6659;35.0164;2406
Cherry Valley;-116.9694;33.9797;7924
Milpitas;-121.8921;37.4340;78106
El Sobrante;-117.4624;33.8724;14451
Exeter;-119.1459;36.2940;10553
Whitewater;-116.6873;33.9356;989
Inyokern;-117.8213;35.6546;731
Rackerby;-121.3542;39.4261;176
Pajaro Dunes;-121.8101;36.8722;319
Adin;-120.9494;41.1964;206
Lake Nacimiento;-120.8702;35.7309;2806
Live Oak;-121.6624;39.2788;8935.0
Fort Jones;-122.8409;41.6086;692
Rancho Cordova;-121.2523;38.5740;73563
Black Point-Green Point;-122.5190;38.1120;1544
Manhattan Beach;-118.3972;33.8895;35924
Montecito;-119.6286;34.4382;8984
El Monte;-118.0291;34.0739;116109
Bostonia;-116.9479;32.8189;17600
Palo Cedro;-122.2363;40.5511;1253
Belmont;-122.2955;37.5154;27140
Robbins;-121.7055;38.8672;329
Woodacre;-122.6384;38.0052;1574
Sugarloaf Mountain Park;-118.6039;35.8379;0
Willowbrook;-118.2362;33.9199;22654
Mather;-121.2832;38.5489;4201
Los Berros;-120.5451;35.0809;483
Waterloo;-121.1846;38.0365;750
Callender;-120.5759;35.0480;1679
Carmet;-123.0720;38.3743;0
Yosemite Lakes;-119.7723;37.1886;5274
Buckhorn;-120.5354;38.4532;2281
Edmundson Acres;-118.8233;35.2273;414
Grenada;-122.5260;41.6406;471
Montclair;-117.6981;34.0714;39276
Buck Meadows;-120.0653;37.8127;51
Grimes;-121.8988;39.0742;271
Hayfork;-123.1299;40.5610;2641
Indio;-116.2346;33.7346;408097.0
Sierra City;-120.6297;39.5740;165
Mission Hills;-120.4405;34.6861;4014
Valley Acres;-119.4106;35.2087;430
Montebello;-118.1108;34.0155;63192
Newell;-121.3675;41.8898;307
Parksdale;-120.0218;36.9462;3029
Graton;-122.8660;38.4376;1827
Livingston;-120.7248;37.3875;14140
Traver;-119.4824;36.4526;834
Floriston;-120.0145;39.3930;34
Montague;-122.5302;41.7275;1406
Mesa;-118.5424;37.4189;288
Lompico;-122.0523;37.1101;899
Hidden Meadows;-117.1198;33.2236;3382
La Vina;-120.1147;36.8799;288
Lindsay;-119.0897;36.2082;16515.0
Bass Lake;-119.5668;37.3280;571
Calimesa;-117.0542;33.9874;8817
Thousand Palms;-116.3545;33.8150;7356
Modesto;-121.0028;37.6374;381398.0
Pico Rivera;-118.0888;33.9902;63522
East Rancho Dominguez;-118.1956;33.8949;16027
Maricopa;-119.4054;35.0517;1197
Wilton;-121.2127;38.4130;5097
Ocotillo;-116.0020;32.7431;114
Klamath;-124.0063;41.5322;722
Costa Mesa;-117.9135;33.6667;113825
Oceano;-120.6090;35.1019;7788
Robinson Mill;-121.3202;39.4857;19
Colusa;-122.0096;39.2049;6781.0
Meadowbrook;-117.2851;33.7254;2656
Hidden Valley Lake;-122.5505;38.8003;5735
Caruthers;-119.8450;36.5399;2984
Potrero;-116.6068;32.6131;465
Laton;-119.6916;36.4338;1921
Hiouchi;-124.0661;41.7937;427
Fuller Acres;-118.9143;35.3023;872
Herald;-121.2318;38.2913;1125
Furnace Creek;-116.8747;36.4277;139
Lucerne Valley;-116.9021;34.4427;5472
Volcano;-120.6306;38.4456;35
Redding;-122.3650;40.5698;120270.0
Concord;-122.0016;37.9722;654770.0
West Modesto;-121.0343;37.6180;5786
Golden Hills;-118.5024;35.1512;8889
Santa Fe Springs;-118.0625;33.9330;17980
Fellows;-119.5472;35.1780;57
Forestville;-122.8899;38.4825;3658
Los Molinos;-122.0981;40.0270;1928
Banning;-116.8991;33.9461;31230
Sacramento;-121.4683;38.5667;1854698.0
Independence;-118.2133;36.8275;607
Spring Valley Lake;-117.2684;34.4988;7356
Valley Ford;-122.9148;38.3246;198
Plumas Eureka;-120.6645;39.7982;303
Westside;-120.1344;36.4042;234
Country Club;-121.3408;37.9687;9914
East Quincy;-120.9189;39.9165;2494
Rancho San Diego;-116.9197;32.7624;21651
Lewiston;-122.8225;40.6969;1368
Bonadelle Ranchos-Madera Ranchos;-119.8893;36.9596;8647
Teviston;-119.2783;35.9290;1135
Lagunitas-Forest Knolls;-122.6914;38.0180;1790
Palo Alto;-122.1467;37.3913;67178
Pearsonville;-117.8755;35.8188;24
Bonita;-117.0296;32.6652;13082
Del Rio;-121.0091;37.7432;1078
Danville;-121.9698;37.8121;44786
Casa de Oro-Mount Helix;-116.9687;32.7640;20196
Cloverdale;-123.0154;38.7962;9362.0
La Quinta;-116.2785;33.6536;41304
Roseland;-122.7298;38.4178;5717
Big Bear City;-116.7903;34.2536;13186
Chinese Camp;-120.4443;37.8703;218
Washington;-120.7906;39.3591;78
San Jacinto;-116.9915;33.7970;48254
Carrick;-122.3635;41.4467;77
Meadow Vista;-121.0304;39.0029;3448
Old Fig Garden;-119.8051;36.7989;5522
Likely;-120.5033;41.2254;0
Sugarloaf Saw Mill;-118.6166;35.8343;0
Riverdale Park;-121.0425;37.6028;1067
Tulelake;-121.4753;41.9533;994
Las Flores;-117.6235;33.5838;5665
Biola;-120.0199;36.8006;1390
Los Ranchos;-120.6291;35.2102;1658
San Mateo;-122.3122;37.5522;104748
Livermore;-121.7608;37.6861;91030.0
Diablo Grande;-121.2699;37.4006;885
Idyllwild-Pine Cove;-116.7257;33.7443;2590
Morongo Valley;-116.5627;34.0724;3231
Thornton;-121.4249;38.2310;934
San Diego;-117.1225;32.8312;3210314.0
Bermuda Dunes;-116.2874;33.7435;7243
Copperopolis;-120.6277;37.9365;4214
La Crescenta-Montrose;-118.2353;34.2323;19658
Pine Canyon;-121.1498;36.1757;1995
Brookdale;-122.1106;37.1058;2490
Signal Hill;-118.1681;33.8029;11622
Stirling City;-121.5361;39.9064;201
Loma Rica;-121.4038;39.3204;3111
Tamalpais-Homestead Valley;-122.5382;37.8793;10853
Tuttle;-120.3789;37.2965;63
West Park;-119.8516;36.7055;755
Pleasanton;-121.8805;37.6663;83007
March ARB;-117.2777;33.8888;1065
Big Lagoon;-124.1303;41.1592;113
Muscoy;-117.3482;34.1548;12968
West Covina;-117.9112;34.0555;107598
Bellflower;-118.1271;33.8880;77772
Allensworth;-119.3892;35.8499;513
Lemon Hill;-121.4573;38.5172;14182
Fort Dick;-124.1526;41.8663;588
Rancho Cucamonga;-117.5666;34.1248;177452
Rio del Mar;-121.8808;36.9608;9621
Agoura Hills;-118.7608;34.1510;20692
St. Helena;-122.4682;38.5063;7168.0
Dorris;-121.9208;41.9643;907
Lenwood;-117.1078;34.8861;4255
Garberville;-123.7948;40.1003;979
Carmichael;-121.3230;38.6337;65091
Richvale;-121.7507;39.4937;153
New Cuyama;-119.6806;34.9421;556
Tomales;-122.9054;38.2470;260
Anza;-116.6967;33.5679;3284
Rodriguez Camp;-119.1388;35.8090;86
Ballard;-120.1156;34.6340;449
Jacumba;-116.1827;32.6278;176
Westley;-121.2035;37.5444;779
Romoland;-117.1572;33.7648;2081
Santa Ana;-117.8819;33.7366;334136
Sunol;-121.8854;37.5894;967
Lancaster;-118.1753;34.6934;349218.0
Moorpark;-118.8770;34.2855;36802
Graeagle;-120.6486;39.7572;713
Descanso;-116.6279;32.8696;1592
Isleton;-121.6051;38.1617;845
Orange Cove;-119.3188;36.6211;10339.0
Pollock Pines;-120.5904;38.7564;7269
Macdoel;-122.0058;41.8256;91
Vernon;-118.2106;34.0019;113
West Sacramento;-121.5504;38.5557;53512
San Geronimo;-122.6634;38.0067;444
Parlier;-119.5435;36.6085;15245.0
Long Barn;-120.1285;38.0957;48
Calexico;-115.4944;32.6849;40351
Fairhaven;-124.2013;40.7885;171
Compton;-118.2275;33.8930;97612
San Andreas;-120.6763;38.1912;3241
Courtland;-121.5570;38.3329;500
Herlong;-120.1399;40.1419;1440
Desert Edge;-116.4401;33.9223;3156
Chester;-121.2339;40.3017;2274
Fort Bragg;-123.8013;39.4400;10403.0
Bootjack;-119.8887;37.4672;839
Wheatland;-121.3900;39.0287;3818.0
Chino;-117.6654;33.9836;89797
Valley Ranch;-120.5650;39.7403;10
Valley Center;-117.0158;33.2331;9842
Prunedale;-121.6555;36.8064;20928
Taft Heights;-119.4711;35.1337;2721
Twain;-121.0404;40.0355;41
Grizzly Flats;-120.5354;38.6357;954
Junction City;-123.0615;40.7274;668
Victorville;-117.3536;34.5277;346948.0
Taft Mosswood;-121.2831;37.9140;1064
Cedarville;-120.1748;41.5280;289
West Goshen;-119.4516;36.3490;618
Onyx;-118.2102;35.6839;621
Downieville;-120.8213;39.5700;90
Rolling Hills;-118.3471;33.7600;1882
Mesa Verde;-114.7317;33.5957;644
Sheridan;-121.3560;38.9690;1337
Hickman;-120.7532;37.6227;513
Mission Canyon;-119.7125;34.4534;2651
Running Springs;-117.1147;34.2104;4427
Davenport;-122.1882;37.0176;292
La Honda;-122.2651;37.3182;574
Posey;-118.6786;35.8038;5
Jamul;-116.8709;32.7184;5895
Ladera Heights;-118.3740;33.9972;7081
Searles Valley;-117.3967;35.7701;1592
Kingsburg;-119.5608;36.5242;12002
Leona Valley;-118.2990;34.6147;1615
Oakville;-122.4067;38.4384;178
Elmira;-121.9077;38.3523;247
Auburn Lake Trails;-120.9849;38.8917;3632
Lake Almanor Peninsula;-121.1345;40.2812;360
Eldridge;-122.5065;38.3339;1487
Shoshone;-116.3056;35.9510;8
Coachella;-116.1430;33.6905;45443
Toro Canyon;-119.5568;34.4235;1602
Greenview;-122.9185;41.5471;175
Villa Park;-117.8103;33.8180;5895
Campo;-116.4745;32.6394;2971
Morgan Hill;-121.6410;37.1324;45037
Imperial Beach;-117.1184;32.5689;27418
Norco;-117.5500;33.9253;26761
Riverdale;-119.8670;36.4304;4095
Los Altos;-122.0966;37.3685;30743
Rolling Hills Estates;-118.3508;33.7783;8226
Middletown;-122.6221;38.7519;627
Sun Village;-117.9559;34.5596;12794
Pismo Beach;-120.6506;35.1492;8237
Campbell;-121.9538;37.2801;41544
Fountain Valley;-117.9514;33.7105;56313
Trona;-117.3449;35.8150;49
Keeler;-117.8720;36.4846;10
Carmel Valley Village;-121.7198;36.4824;4011
El Centro;-115.5586;32.7867;112145.0
Torrance;-118.3417;33.8346;146758
Oakdale;-120.8471;37.7616;23150
San Juan Bautista;-121.5384;36.8457;1976
Holtville;-115.3779;32.8129;7637.0
East Orosi;-119.2599;36.5481;932
Newcastle;-121.1318;38.8678;1261
Clearlake Riviera;-122.7207;38.9512;3616
Vacaville;-121.9680;38.3590;100801.0
Quartz Hill;-118.2163;34.6527;10098
Chualar;-121.5103;36.5711;1409
Palermo;-121.5226;39.4313;5713
Nice;-122.8525;39.1266;2496
Seaside;-121.8191;36.6224;118110.0
Simi Valley;-118.7490;34.2663;127864.0
Plainview;-119.1375;36.1423;1016
Beckwourth;-120.4111;39.8485;186
Willows;-122.1995;39.5149;7197.0
Menlo Park;-122.1672;37.4686;34357
Valley Home;-120.9143;37.8272;166
North Highlands;-121.3721;38.6713;47357
Indianola;-124.0808;40.8133;736
Mission Viejo;-117.6550;33.6095;600474.0
Alamo;-122.0131;37.8546;15521
Rail Road Flat;-120.4910;38.3168;255
Thermalito;-121.6150;39.4909;6905
Lomita;-118.3175;33.7933;20707
Potter Valley;-123.1123;39.3190;336
Indian Wells;-116.3396;33.7036;5404
Lower Lake;-122.6084;38.9118;1443
Burbank;-118.3235;34.1879;104834
Casa Conejo;-118.9445;34.1847;3393
Rosedale;-119.2058;35.3887;17603
Coronado;-117.1600;32.6640;24417
Warm Springs;-117.3344;33.7067;1417
Dustin Acres;-119.3750;35.2159;679
Yucca Valley;-116.4216;34.1234;25009.0
Maxwell;-122.1946;39.2771;942
Patton Village;-120.1778;40.1401;638
Upland;-117.6604;34.1178;76999
El Cerrito;-122.3025;37.9197;25515
Shingletown;-121.8600;40.5035;2261
Anderson;-122.2962;40.4510;10370
Bloomington;-117.4013;34.0601;22377
Palm Springs;-116.5382;33.8017;48142
Atherton;-122.2032;37.4539;7238
Needles;-114.6189;34.8164;8807.0
Clipper Mills;-121.1666;39.5324;278
Weldon;-118.3103;35.6431;2185
Altadena;-118.1345;34.1928;45236
National City;-117.0983;32.6654;61363
Foresthill;-120.8313;39.0053;1475
Daphnedale Park;-120.5507;41.5089;103
American Canyon;-122.2583;38.1796;20247
Plymouth;-120.8584;38.4776;993
Rialto;-117.3894;34.1175;103562
Rohnert Park;-122.6964;38.3480;42838
Dinuba;-119.3987;36.5453;24034
Pacific Grove;-121.9255;36.6191;15698
Rosamond;-118.2154;34.8658;20024
Roseville;-121.3178;38.7691;135329
Angels;-120.5501;38.0706;3723.0
Occidental;-122.9349;38.4004;892
Vista;-117.2386;33.1896;101568
Phelan;-117.5248;34.4398;15123
Sunnyside;-119.6945;36.7294;4454
Johnstonville;-120.5846;40.3789;1159
Inverness;-122.8471;38.0821;1160
Acton;-118.1858;34.4956;7278
Pasadena;-118.1390;34.1597;142647
Alleghany;-120.8410;39.4666;130
Tres Pinos;-121.3106;36.7904;596
Castaic;-118.6317;34.4818;19299
Stonyford;-122.5445;39.3703;369
Covelo;-123.2499;39.8025;1223
Vandenberg Village;-120.4623;34.7111;7541
Cambria;-121.0847;35.5523;5934
Miranda;-123.8174;40.2289;710
Silverado Resort;-122.2556;38.3536;976
Amesti;-121.7805;36.9583;2851
Planada;-120.3207;37.2892;4472
Hyampom;-123.4689;40.6262;63
Gold Mountain;-120.5191;39.7613;0
China Lake Acres;-117.7667;35.6387;2446
Valle Vista;-116.8872;33.7436;16672
Los Alamos;-120.2783;34.7375;1447
Pine Flat;-118.6427;35.8737;157
Newark;-122.0312;37.5204;47531
Santee;-116.9851;32.8554;58113
Mi-Wuk Village;-120.1790;38.0570;1065
Sereno del Mar;-123.0732;38.3836;63
Walnut Park;-118.2220;33.9683;15915
Santa Paula;-119.0698;34.3521;30747.0
San Ardo;-120.9074;36.0238;623
Del Rey;-119.5993;36.6562;1486
Mono Vista;-120.2697;38.0124;3346
Lake Forest;-117.6712;33.6606;84293
Sonora;-120.3828;37.9819;27995.0
Dobbins;-121.2128;39.3657;696
Newport Beach;-117.8669;33.6151;86160
Peters;-121.0439;37.9763;465
Santa Clara;-121.9680;37.3646;127134
Pine Valley;-116.5107;32.8415;1878
Laguna Woods;-117.7299;33.6099;16200
Penngrove;-122.6707;38.3005;2922
Elizabeth Lake;-118.3783;34.6590;1884
Montara;-122.4924;37.5482;2909
Lennox;-118.3586;33.9380;21537
Barstow;-117.0472;34.8661;30606.0
Walnut Grove;-121.5280;38.2477;1342
Redway;-123.8220;40.1209;1433
Desert Palms;-116.2930;33.7790;6949
Pajaro;-121.7417;36.9016;3644
Mesa Vista;-119.8033;38.8103;291
Azusa;-117.9124;34.1386;49864
Half Moon Bay;-122.4383;37.4688;23540.0
Los Gatos;-121.9560;37.2302;30724
Pinole;-122.2834;37.9931;19364
Hoopa;-123.6972;41.0803;3393
San Anselmo;-122.5699;37.9821;12580
San Martin;-121.5963;37.0829;7313
Auberry;-119.4900;37.0754;2582
Sky Valley;-116.3551;33.8912;2430
Easton;-119.7908;36.6524;2087
McKinleyville;-124.0857;40.9489;16963
Alto;-122.5187;37.9056;751
Sausalito;-122.4932;37.8580;7141
Highlands-Baywood Park;-122.3448;37.5227;4245
Allendale;-121.9814;38.4426;1403
Rosemont;-121.3553;38.5477;23700
Dublin;-121.8964;37.7161;60939
Tarpey Village;-119.7012;36.7941;3200
San Lorenzo;-122.1349;37.6737;25101
Day Valley;-121.8559;37.0255;3816
Paxton;-121.0030;40.0334;0
Cedar Slope;-118.5771;36.1436;0
Seacliff;-121.9176;36.9770;3231
Stockton;-121.3111;37.9766;394467.0
Angwin;-122.4512;38.5776;3463
Tecopa;-116.2074;35.8350;153
Durham;-121.7875;39.6232;5819
Orcutt;-120.4269;34.8668;30001
Emerald Lake Hills;-122.2675;37.4663;4648
Guinda;-122.1985;38.8274;259
Salton Sea Beach;-116.0113;33.3759;549
Fairfield;-122.0319;38.2594;147582.0
Vineyard;-121.3190;38.4744;27585
Acalanes Ridge;-122.0786;37.9045;894
North Edwards;-117.8093;35.0474;812
Rosemead;-118.0823;34.0688;54554
Milford;-120.3686;40.1634;183
Honcut;-121.5387;39.3326;150
Escalon;-120.9981;37.7912;7615.0
Rossmoor;-118.0803;33.7886;10920
Ojai;-119.2469;34.4487;7582
Placerville;-120.7978;38.7308;31260.0
South El Monte;-118.0484;34.0493;20987
Millville;-122.1696;40.5576;657
Temescal Valley;-117.4677;33.7581;25411
Diablo;-121.9565;37.8408;618
Panorama Heights;-118.6270;35.8068;38
Fulton;-122.7734;38.4937;493
Rancho Mirage;-116.4271;33.7634;18306
Yuba City;-121.6381;39.1357;120186.0
San Diego Country Estates;-116.7874;33.0093;10633
Capitola;-121.9539;36.9772;10180
Lanare;-119.9322;36.4377;176
Contra Costa Centre;-122.0539;37.9261;6440
Kennedy Meadows;-118.1100;36.0076;21
Rancho Santa Margarita;-117.5989;33.6317;48793
North Shore;-115.9092;33.5157;3349
Interlaken;-121.7363;36.9505;6725
Homestead Valley;-116.4145;34.2730;2987
Coleville;-119.5160;38.5834;328
Knightsen;-121.6511;37.9633;1576
Mendocino;-123.7908;39.3110;664
Dunsmuir;-122.2714;41.2319;1580
Kings Beach;-120.0201;39.2490;2824
Myers Flat;-123.8737;40.2666;0
Corona;-117.5641;33.8620;167836
East Shore;-121.0768;40.2451;193
Yreka;-122.6311;41.7292;7437.0
Beaumont;-116.9762;33.9070;46967
Bear Creek;-120.4177;37.2966;186
San Pablo;-122.3425;37.9628;31156
Alpine Village;-119.8009;38.7856;179
Dorrington;-120.2706;38.2949;238
Smith River;-124.1494;41.9250;746
Oakley;-121.6951;37.9929;41714
Agua Dulce;-118.3160;34.5044;3598
McArthur;-121.4068;41.0415;380
Oroville East;-121.4866;39.4947;7349
Meridian;-121.9079;39.1404;451
Dixon Lane-Meadow Creek;-118.4153;37.3864;2738
Chino Hills;-117.7253;33.9507;80374
Bonsall;-117.1942;33.2761;4341
Folsom;-121.1422;38.6669;78038
Susanville;-120.6129;40.4205;8783.0
San Rafael;-122.5222;37.9904;59070
Calabasas;-118.6689;34.1375;24202
Cuyama;-119.6148;34.9312;16
Wawona;-119.6395;37.5482;237
Concow;-121.5196;39.7733;762
Westlake Village;-118.8221;34.1369;8440
Sisquoc;-120.2942;34.8622;238
Jackson;-120.7728;38.3485;7394.0
Trowbridge;-121.5148;38.9263;241
Calistoga;-122.5824;38.5818;5273.0
Ladera Ranch;-117.6416;33.5491;28769
Cleone;-123.7812;39.4927;760
Ford City;-119.4584;35.1647;4388
University of California-Davis;-121.7576;38.5374;7221
Oasis;-116.1261;33.5275;3240
Marina;-121.7894;36.6812;22145
San Clemente;-117.6103;33.4498;65267
Whittier;-118.0188;33.9678;86838
